scenario,ticker,strategy,position,entry_date,exit_date,pnl,cum_pnl,series_id,initial_balance,equity,return_pct,prev_equity,trade_return_pct
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-03-15,2024-03-18,282.7879096970937,6874.584919444822,SPY|short|straddle,100000.0,106874.58491944482,0.06874584919444815,106591.79700974772,0.0026529988013170754
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-03-18,2024-03-19,111.3796951747122,6985.964614619534,SPY|short|straddle,100000.0,106985.96461461953,0.06985964614619533,106874.58491944482,0.0010421532421263954
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-03-19,2024-03-20,138.41091352472858,7124.375528144263,SPY|short|straddle,100000.0,107124.37552814426,0.07124375528144267,106985.96461461953,0.001293729640362703
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-03-20,2024-03-21,-179.6602929565488,6944.715235187714,SPY|short|straddle,100000.0,106944.71523518772,0.06944715235187715,107124.37552814426,-0.0016771186956356869
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-03-21,2024-03-22,141.3679979667604,7086.083233154474,SPY|short|straddle,100000.0,107086.08323315448,0.07086083233154472,106944.71523518772,0.0013218792313006832
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-03-22,2024-03-25,730.9670345598315,7817.050267714306,SPY|short|straddle,100000.0,107817.05026771431,0.0781705026771431,107086.08323315448,0.0068259760044479785
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-03-25,2024-03-26,102.11951618403236,7919.169783898338,SPY|short|straddle,100000.0,107919.16978389834,0.07919169783898328,107817.05026771431,0.0009471555373706225
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-03-26,2024-03-27,-67.64046022350158,7851.529323674837,SPY|short|straddle,100000.0,107851.52932367484,0.07851529323674833,107919.16978389834,-0.0006267696495344389
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-03-27,2024-03-28,132.77583645158484,7984.3051601264215,SPY|short|straddle,100000.0,107984.30516012642,0.07984305160126426,107851.52932367484,0.001231098318996565
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-03-28,2024-04-01,1089.7731217648593,9074.078281891281,SPY|short|straddle,100000.0,109074.07828189128,0.09074078281891285,107984.30516012642,0.010091958457748745
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-04-01,2024-04-02,-356.5187694358374,8717.559512455444,SPY|short|straddle,100000.0,108717.55951245544,0.0871755951245543,109074.07828189128,-0.003268593006254424
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-04-02,2024-04-03,67.90049767574101,8785.460010131184,SPY|short|straddle,100000.0,108785.46001013118,0.08785460010131185,108717.55951245544,0.0006245587003630435
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-04-03,2024-04-04,-513.0002142743924,8272.459795856792,SPY|short|straddle,100000.0,108272.45979585679,0.08272459795856779,108785.46001013118,-0.004715705703929705
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-04-04,2024-04-05,74.34293085875834,8346.80272671555,SPY|short|straddle,100000.0,108346.80272671556,0.08346802726715552,108272.45979585679,0.000686628261692113
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-04-05,2024-04-08,657.260849585206,9004.063576300756,SPY|short|straddle,100000.0,109004.06357630076,0.09004063576300769,108346.80272671556,0.0060662689903551925
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-04-08,2024-04-09,55.55370115095366,9059.61727745171,SPY|short|straddle,100000.0,109059.6172774517,0.09059617277451704,109004.06357630076,0.0005096479830962185
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-04-09,2024-04-10,-954.2465457695594,8105.370731682151,SPY|short|straddle,100000.0,108105.37073168215,0.0810537073168216,109059.6172774517,-0.008749769801061385
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-04-10,2024-04-11,39.27198745860824,8144.642719140758,SPY|short|straddle,100000.0,108144.64271914076,0.08144642719140749,108105.37073168215,0.00036327508238310775
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-04-11,2024-04-12,-330.46727634184253,7814.175442798916,SPY|short|straddle,100000.0,107814.17544279892,0.07814175442798921,108144.64271914076,-0.0030557896168753296
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-04-12,2024-04-15,205.71572846425488,8019.891171263171,SPY|short|straddle,100000.0,108019.89117126317,0.0801989117126316,107814.17544279892,0.0019080582643179224
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-04-15,2024-04-16,118.79221555000868,8138.68338681318,SPY|short|straddle,100000.0,108138.68338681318,0.08138683386813184,108019.89117126317,0.0010997253770758408
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-04-16,2024-04-17,24.600057324880254,8163.28344413806,SPY|short|straddle,100000.0,108163.28344413805,0.08163283444138059,108138.68338681318,0.00022748619230812713
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-04-17,2024-04-18,115.76503587377101,8279.048480011832,SPY|short|straddle,100000.0,108279.04848001183,0.08279048480011819,108163.28344413805,0.0010702803408659367
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-04-18,2024-04-19,126.03512836387017,8405.083608375702,SPY|short|straddle,100000.0,108405.0836083757,0.08405083608375707,108279.04848001183,0.0011639844469739323
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-04-19,2024-04-22,456.78900591907313,8861.872614294774,SPY|short|straddle,100000.0,108861.87261429477,0.08861872614294763,108405.0836083757,0.004213723108865166
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-04-22,2024-04-23,44.67943268834051,8906.552046983115,SPY|short|straddle,100000.0,108906.55204698311,0.08906552046983118,108861.87261429477,0.00041042315013855094
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-04-23,2024-04-24,138.38165178554846,9044.933698768664,SPY|short|straddle,100000.0,109044.93369876867,0.09044933698768665,108906.55204698311,0.0012706457892987886
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-04-24,2024-04-25,-930.0987405366704,8114.834958231993,SPY|short|straddle,100000.0,108114.834958232,0.08114834958231998,109044.93369876867,-0.008529499803319823
